**********
Total number of connected components: 41948
**********
Word | # Components | Max Degree :# Vertices w/ Max Degree | Word List w/ Max Degree
20000                        |    1 |    1 : 1    | ['league'] 
2001                         |    3 |    1 : 3    | ['1999', 'obelisk', 'odyssey'] 
2004                         |    2 |    1 : 2    | ['unreal', 'year'] 
2006                         |    2 |    1 : 2    | ['millennium', 'sonic'] 
2010                         |    2 |    1 : 2    | ['poop', 'time'] 
2012                         |    6 |    2 : 2    | ['apocalypse', 'olympics'] 
2014                         |    3 |    1 : 3    | ['commando', 'deer', 'happy'] 
2033                         |    2 |    1 : 2    | ['future', 'metro'] 
21                           |    5 |    2 : 1    | ['blackjack'] 
2140                         |    2 |    1 : 2    | ['42', 'earth'] 
2150                         |    2 |    1 : 2    | ['earth', 'scifi'] 
21st                         |    2 |    1 : 2    | ['century', 'party'] 
22                           |    6 |    4 : 1    | ['catch'] 
220                          |    2 |    1 : 2    | ['electricity', 'hours'] 
22310                        |    2 |    1 : 2    | ['22315', 'demon'] 
22315                        |    2 |    1 : 2    | ['22310', '2501'] 
23                           |    9 |    1 : 9    | ['20', '22', '24', '42', 'digits', 'midnight', 'numbers', 'project', 'thirteen'] 
24                           |    8 |    1 : 8    | ['23', 'chase', 'forty-two', 'hours', 'jack', 'omega', 'torture', 'tulsa'] 
242                          |    2 |    1 : 2    | ['144', 'divisible'] 
250                          |    2 |    1 : 2    | ['hours', 'work'] 
2501                         |    2 |    1 : 2    | ['2012', '22315'] 
2525                         |    2 |    1 : 2    | ['vision', 'year'] 
2600                         |    2 |    1 : 2    | ['4400', 'atari'] 
269                          |    2 |    1 : 2    | ['hawkmoon', 'numbers'] 
289                          |    2 |    1 : 2    | ['302', '351'] 
2d                           |    2 |    1 : 2    | ['3d', '4d'] 
2nd                          |    6 |    1 : 6    | ['base', 'first', 'golden', 'silver', 'what', 'who'] 
2x4                          |    2 |    1 : 2    | ['4x4', 'fatty'] 
3                            |   33 |    5 : 1    | ['2'] 
3-d                          |    2 |    1 : 2    | ['cube', 'depth'] 
30                           |    4 |    1 : 4    | ['numeral', 'speed', 'trust', 'years'] 
300                          |    6 |    1 : 6    | ['333', '400', 'immortal', 'numbers', 'sparta', 'spartans'] 
302                          |    3 |    2 : 1    | ['boss'] 
303                          |    2 |    1 : 2    | ['number', 'stevens'] 
3281                         |    2 |    1 : 2    | ['2000', 'waikato'] 
32f                          |    2 |    1 : 2    | ['freezing', 'ice'] 
333                          |    3 |    2 : 1    | ['time'] 
351                          |    2 |    1 : 2    | ['289', 'griffin'] 
360                          |   11 |    4 : 1    | ['degrees'] 
365                          |    1 |    1 : 1    | ['day'] 
380                          |    2 |    1 : 2    | ['50', 'numbers'] 
39                           |    2 |    1 : 2    | ['elding', 'pier'] 
3d                           |   14 |    3 : 1    | ['movie'] 
3pm                          |    2 |    1 : 2    | ['elevenses', 'kickoff'] 
3rd                          |    4 |    1 : 4    | ['army', 'fourth', 'richard', 'triple'] 
4                            |    9 |    3 : 2    | ['golf', 'play'] 
4-day                        |    1 |    1 : 1    | ['weekend'] 
40                           |   11 |    1 : 11   | ['10', '20', '22', '50', 'birthhday', 'exodus', 'famine', 'john', 'life', 'strength', 'surrender'] 
400                          |    3 |    1 : 3    | ['300', '420', 'storage'] 
401k                         |    3 |    1 : 3    | ['job', 'retirement', 'savings'] 
404                          |    5 |    2 : 1    | ['error'] 
4077                         |    2 |    2 : 1    | ['hawkeye'] 
411                          |    4 |    1 : 4    | ['info', 'information', 'number', 'room'] 
42                           |   10 |    2 : 2    | ['answer', 'number'] 
420                          |    2 |    1 : 2    | ['400', '440'] 
440                          |    1 |    1 : 1    | ['420'] 
4400                         |    2 |    1 : 2    | ['2600', 'number'] 
442                          |    2 |    1 : 2    | ['cutlass', 'hurst'] 
451                          |    2 |    1 : 2    | ['fahrenheit', 'movie'] 
47                           |    7 |    3 : 1    | ['hitman'] 
49th                         |    2 |    1 : 2    | ['parallel', 'street'] 
4courses                     |    1 |    1 : 1    | ['horses'] 
4d                           |    2 |    1 : 2    | ['2d', 'add'] 
4ever                        |    1 |    1 : 1    | ['3'] 
4wd                          |    2 |    1 : 2    | ['rally', 'vehicle'] 
4x4                          |    4 |    1 : 4    | ['2x4', 'mud', 'toyota', 'wheels'] 
5                            |   10 |    1 : 10   | ['1', 'ante', 'chatting', 'hand', 'input', 'lottery', 'lumps', 'match', 'number', 'stereo'] 
50                           |    8 |    1 : 8    | ['380', '40', 'cent', 'faithful', 'lyrics', 'majority', 'subscribers', 'tax'] 
50%                          |    2 |    1 : 2    | ['half', 'off'] 
50's                         |    2 |    1 : 2    | ['chantilly', 'elvis'] 
50-cent                      |    2 |    1 : 2    | ['game', 'rapper'] 
500                          |    5 |    2 : 1    | ['indy'] 
500th                        |    1 |    1 : 1    | ['bluegrass'] 
501                          |    2 |    1 : 2    | ['darts', 'levis'] 
501's                        |    2 |    1 : 2    | ['math', 'pants'] 
50cent                       |    2 |    1 : 2    | ['eminem', 'lowrider'] 
50p                          |    2 |    1 : 2    | ['bob', 'piece'] 
51                           |   10 |    6 : 1    | ['area'] 
55                           |    2 |    1 : 2    | ['drive', 'studio'] 
555                          |    1 |    1 : 1    | ['number'] 
57                           |    2 |    1 : 2    | ['69', 'heinz'] 
5star                        |    3 |    1 : 3    | ['cuisine', 'fifa', 'savoy'] 
5th                          |    2 |    2 : 1    | ['november'] 
6                            |   10 |    1 : 10   | ['13', '2', 'average', 'electric', 'feet', 'number', 'omega', 'portmeirion', 'sub', 'three'] 
6-5000                       |    2 |    1 : 2    | ['pennsylvania', 'transylvania'] 
60s                          |    2 |    1 : 2    | ['mid', 'muscle'] 
64                           |    3 |    1 : 3    | ['birth', 'nintendo', 'number'] 
66                           |    7 |    5 : 1    | ['route'] 
665                          |    1 |    1 : 1    | ['867-5309'] 
666                          |    5 |    2 : 1    | ['999'] 
69                           |   13 |    2 : 1    | ['sham'] 
6ft                          |    2 |    1 : 2    | ['tall', 'under'] 
7                            |    9 |    1 : 9    | ['0207', '1', 'dwarfs', 'house', 'humping', 'number', 'samurai', 'stockport', 'up'] 
7-11                         |    2 |    1 : 2    | ['convenience', 'elvis'] 
7-zip                        |    2 |    1 : 2    | ['winrar', 'winzip'] 
70                           |    1 |    1 : 1    | ['hope'] 
70's                         |    4 |    1 : 4    | ['afros', 'disco', 'nice', 'past'] 
7000                         |    2 |    1 : 2    | ['heights', 'math'] 
70s                          |    2 |    1 : 2    | ['decade', 'funky'] 
747                          |    4 |    1 : 4    | ['boeing', 'boing', 'digits', 'jumbo'] 
7cf                          |    2 |    1 : 2    | ['11111001111', '1999'] 
7eleven                      |    2 |    1 : 2    | ['convenient', 'store'] 
7th                          |    4 |    1 : 4    | ['number', 'sin', 'sixth', 'street'] 
7up                          |    2 |    1 : 2    | ['lemon', 'up'] 
8                            |    6 |    2 : 2    | ['after', 'windows'] 
8-bit                        |    1 |    1 : 1    | ['tetris'] 
8-mile                       |    1 |    1 : 1    | ['eminem'] 
8-track                      |    6 |    1 : 6    | ['betamax', 'cartridge', 'cruising', 'gramophone', 'phonograph', 'vinyl'] 
80's                         |    2 |    1 : 2    | ['cure', 'disco'] 
80s                          |    6 |    1 : 6    | ['buggles', 'discofever', 'drummers', 'hair', 'music', 'videos'] 
86                           |    5 |    1 : 5    | ['99', 'boot', 'cancel', 'clouds', 'no'] 
867-5309                     |    1 |    1 : 1    | ['665'] 
88                           |    2 |    1 : 2    | ['butterfly', 'cold'] 
886                          |    1 |    3 : 1    | ['number'] 
88mm                         |    1 |    1 : 1    | ['aaa'] 
8bit                         |    2 |    1 : 2    | ['chipmunk', 'commodore'] 
8mm                          |    3 |    2 : 1    | ['film'] 
8th                          |    1 |    1 : 1    | ['dimension'] 
9                            |   23 |    3 : 1    | ['number'] 
911                          |   11 |    1 : 11   | ['9', 'calling', 'date', 'joke', 'numbers', 'operator', 'pentagon', 'police', 'rescue', 'thermite', 'truth'] 
93                           |    2 |    1 : 2    | ['number', 'united'] 
98                           |    5 |    1 : 5    | ['1', 'degrees', 'numbers', 'wembley', 'windows'] 
99                           |    6 |    1 : 6    | ['86', 'balloons', 'collapse', 'ether', 'flakey', 'nena'] 
99%                          |    2 |    1 : 2    | ['movement', 'tent'] 
999                          |    3 |    2 : 2    | ['666', 'emergency'] 
@                            |    5 |    1 : 5    | ['ampersand', 'at', 'confusion', 'hot', 'slander'] 
@#$@#%#$%#$%$                |    2 |    1 : 2    | ['booboo', 'shop'] 
@$                           |    6 |    2 : 1    | ['donkey'] 
@lynne                       |    1 |    1 : 1    | ['noodles'] 
@s3cs3arch3r                 |    2 |    1 : 2    | ['many', 'omnifariousness'] 
\m                           |    1 |    1 : 1    | ['lol'] 
a                            |   51 |    5 : 1    | ['team'] 
a$hole                       |    1 |    1 : 1    | ['troubles'] 
a'changin'                   |    2 |    1 : 2    | ['dylan', 'times'] 
a'dultery                    |    2 |    1 : 2    | ['betrayal', 'cruelty'] 
a+                           |    2 |    1 : 2    | ['grades', 'never'] 
a++                          |    2 |    1 : 2    | ['a+1', 'one'] 
a+1                          |    2 |    1 : 2    | ['a++', 'virgin'] 
a-boo                        |    2 |    1 : 2    | ['hide', 'peek'] 
a-dub-dub                    |    2 |    1 : 2    | ['bubbles', 'rub'] 
a-game                       |    1 |    1 : 1    | ['a-team'] 
a-hole                       |    3 |    1 : 3    | ['butt', 'hole', 'snob'] 
a-potty                      |    1 |    1 : 1    | ['crazy'] 
a-rod                        |    2 |    1 : 2    | ['baseball', 'yankees'] 
a-team                       |    7 |    3 : 1    | ['face'] 
a1                           |    2 |    1 : 2    | ['north', 'road'] 
aa                           |    2 |    1 : 2    | ['lava', 'pahoehoe'] 
aaa                          |    6 |    1 : 6    | ['88mm', 'confused', 'drunk', 'farce', 'hyped', 'now'] 
aaaaaaaaaaaaaaggggggggggggggggggggghhhhhhhhhhhhhhhhhhhhh |    2 |    1 : 2    | ['earthquake', 'men'] 
aaaaaaaaaaaaarrrrrrrrrrrrrrrrrgggggggggggggghhhhhhhhhhhhhhhhhhhhhhhhh |    2 |    1 : 2    | ['attack', 'fall'] 
aaaaaaaaaaaachooooooooooooooooooo |    1 |    1 : 1    | ['sneeze'] 
aaaaaaah                     |    2 |    1 : 2    | ['fall', 'nod'] 
aaahhh                       |    2 |    1 : 2    | ['doh', 'ooohhh'] 
aaahrg                       |    2 |    1 : 2    | ['insomnia', 'urgh'] 
aaarggh                      |    2 |    1 : 2    | ['eeeek', 'pfffffffffftttttttttttttt'] 
aaarrrrrrrrrrrrrrrrrrrrrrrrrrrr |    1 |    1 : 1    | ['waaaaaaahh'] 
aah                          |    2 |    1 : 2    | ['mageddon', 'soul'] 
aardvark                     |    6 |    1 : 6    | ['animal', 'ant', 'ants', 'non-sexy', 'rabbit', 'shell'] 
aaron                        |    9 |    2 : 1    | ['annoying'] 
aawrroo                      |    1 |    1 : 1    | ['wookiee'] 
ab                           |    2 |    1 : 2    | ['fab', 'workout'] 
abacab                       |    2 |    1 : 2    | ['genesis', 'ipecac'] 
aback                        |    3 |    1 : 3    | ['abacus', 'afront', 'taker'] 
abacus                       |   16 |    6 : 1    | ['calculator'] 
abalone                      |    1 |    1 : 1    | ['jewelry'] 
abandon                      |   18 |    6 : 1    | ['leave'] 
abandoned                    |   20 |    3 : 2    | ['deserted', 'forgotten'] 
abandonia                    |    2 |    1 : 2    | ['horsemen', 'reloaded'] 
abandonware                  |    3 |    1 : 3    | ['fallacy', 'malware', 'software'] 
abase                        |    2 |    1 : 2    | ['belittle', 'scold'] 
abasement                    |    2 |    1 : 2    | ['basement', 'humiliation'] 
abate                        |    2 |    1 : 2    | ['relief', 'subside'] 
abated                       |    2 |    1 : 2    | ['decreased', 'terminated'] 
abattoir                     |    2 |    1 : 2    | ['slaughter', 'surgery'] 
abba                         |   17 |    4 : 2    | ['sweden', 'waterloo'] 
abbatoir                     |    2 |    1 : 2    | ['bloody', 'disinfectant'] 
abbess                       |    2 |    1 : 2    | ['abstinance', 'sister'] 
abbey                        |   10 |    3 : 1    | ['road'] 
abbeys                       |    2 |    1 : 2    | ['downton', 'glens'] 
abbeywhat                    |    2 |    1 : 2    | ['downtown', 'road'] 
