**********
Total number of connected components: 41948
**********
Word | # Components | Max Degree :# Vertices w/ Max Degree | Word List w/ Max Degree
cpt                          |    2 |    1 : 2    | ['depp', 'pearl'] 
cpu                          |    6 |    2 : 1    | ['gpu'] 
crab                         |   45 |    6 : 2    | ['hermit', 'lobster'] 
crabapple                    |    1 |    1 : 1    | ['cove'] 
crabbin                      |    1 |    1 : 1    | ['bleepin'] 
crabby                       |    4 |    1 : 4    | ['cranky', 'grouchy', 'peevish', 'spoiled'] 
crabs                        |   23 |    3 : 1    | ['lice'] 
crabtreeakn1970s             |    1 |    1 : 1    | ['shirley'] 
crack                        |   55 |   11 : 1    | ['cocaine'] 
cracked                      |   21 |    2 : 3    | ['ajar', 'mirror', 'snapped'] 
cracker                      |   38 |    8 : 1    | ['cheese'] 
crackerbox                   |    1 |    1 : 1    | ['toy'] 
crackerjack                  |    4 |    4 : 1    | ['cabbage'] 
crackers                     |   45 |   21 : 1    | ['cheese'] 
crackhead                    |    2 |    1 : 2    | ['addict', 'drugs'] 
cracking                     |    2 |    1 : 2    | ['duper', 'goal'] 
crackle                      |   11 |   11 : 1    | ['snap'] 
crackles                     |    2 |    1 : 2    | ['pops', 'snaps'] 
crackling                    |    2 |    1 : 2    | ['crunchy', 'pork'] 
crackpot                     |    4 |    1 : 4    | ['despot', 'freakazoid', 'lunatic', 'nutter'] 
cracks                       |    7 |    1 : 7    | ['cement', 'chips', 'frog', 'ice', "mother's", 'ok', 'paper'] 
cracow                       |    2 |    1 : 2    | ['elinor', 'poland'] 
craddock                     |    2 |    1 : 2    | ['fanny', 'haddock'] 
cradle                       |   15 |    2 : 2    | ['baby', 'rock'] 
cradock                      |    1 |    1 : 1    | ['town'] 
craft                        |   42 |    5 : 1    | ['arts'] 
crafted                      |    4 |    1 : 4    | ['designed', 'devised', 'hand', 'made'] 
crafter                      |    2 |    1 : 2    | ['artiste', 'miner'] 
crafting                     |    6 |    1 : 6    | ['art', 'constructing', 'drafting', 'grafting', 'make', 'mats'] 
crafts                       |   16 |    4 : 1    | ['arts'] 
craftsman                    |   11 |    3 : 1    | ['artist'] 
craftsmanship                |    6 |    1 : 6    | ['crafts', 'gamesmanship', 'leadership', 'quality', 'skill', 'tools'] 
craftsmen                    |    4 |    1 : 4    | ['builders', 'drill', 'master', 'tools'] 
craftwork                    |    2 |    1 : 2    | ['creator', 'handmade'] 
crafty                       |   10 |    1 : 10   | ['artistic', 'artists', 'crafts', 'creative', 'fox', 'old', 'sly', 'talent', 'wily', 'witch'] 
crag                         |    2 |    1 : 2    | ['bluff', 'precipice'] 
craic                        |    2 |    1 : 2    | ['crack', 'irish'] 
craig                        |    5 |    1 : 5    | ['cat', 'diet', 'friday', 'mcdermott', 'no'] 
cram                         |    4 |    1 : 4    | ['berry', 'school', 'study', 'stuff'] 
cramer                       |    2 |    1 : 2    | ['jim', 'seinfeld'] 
crammed                      |    2 |    1 : 2    | ['full', 'stuffed'] 
cramming                     |    2 |    1 : 2    | ['assignments', 'studying'] 
cramp                        |   15 |    2 : 1    | ['leg'] 
cramped                      |    4 |    1 : 4    | ['apartment', 'muscles', 'seating', 'small'] 
cramps                       |    6 |    1 : 6    | ['leg', 'muscle', 'onions', 'pain', 'painful', 'stomach'] 
cranberries                  |    7 |    1 : 7    | ['apocalypse', 'crane', 'liar', 'raspberries', 'rock', 'strawberry', 'zombie'] 
cranberry                    |    4 |    2 : 1    | ['juice'] 
cranberry-sludge             |    2 |    1 : 2    | ['prophecy', 'vision'] 
crane                        |   12 |    3 : 1    | ['origami'] 
cranes                       |    2 |    1 : 2    | ['birds', 'paper'] 
cranium                      |    6 |    2 : 2    | ['brain', 'head'] 
crank                        |    6 |    1 : 6    | ['cranky', 'engine', 'handle', 'jack-in-the-box', 'prank', 'ufo'] 
cranked                      |    2 |    1 : 2    | ['music', 'pranked'] 
cranky                       |   15 |    2 : 1    | ['irritable'] 
cranny                       |    3 |    2 : 1    | ['nook'] 
crap                         |   56 |    2 : 3    | ['poo', 'rap', 'shoot'] 
crapachino                   |    2 |    1 : 2    | ["starbuck's", 'titicaca'] 
craphole                     |    2 |    1 : 2    | ['flushing', 'soviet'] 
crapper                      |    6 |    1 : 6    | ['bathroom', 'crap', 'potter', 'scraper', 'toilet', 'waterloo'] 
crappie                      |    2 |    1 : 2    | ['perch', 'shiner'] 
crappy                       |    9 |    1 : 9    | ['deny', 'diapers', 'hurt', 'inferior', 'microsoft', 'mp3', 'seduction', 'substandard', 'weather'] 
craps                        |   11 |    2 : 1    | ['dice'] 
crapshoot                    |    2 |    1 : 2    | ['music', 'risky'] 
crapulence                   |    2 |    1 : 2    | ['hunger', 'indulgence'] 
crash                        |  101 |   21 : 1    | ['car'] 
crash-land                   |    2 |    1 : 2    | ['evoland', 'takeoff'] 
crashcource                  |    2 |    1 : 2    | ['crash', 'jell'] 
crashed                      |    6 |    1 : 6    | ['crushed', 'fines', 'impacted', 'shipwrecked', 'suv', 'wreck'] 
crashers                     |    2 |    1 : 2    | ['castle', 'knigths'] 
crashes                      |    7 |    1 : 7    | ['browser', 'bugs', 'collapses', 'damages', 'party', 'racing', 'tourist'] 
crashh                       |    2 |    1 : 2    | ['movie', 'wreck'] 
crashing                     |    9 |    4 : 1    | ['waves'] 
crass                        |    4 |    1 : 4    | ['class', 'commune', 'disgusting', 'porno'] 
crate                        |   16 |    9 : 1    | ['box'] 
crated                       |    1 |    1 : 1    | ['restraints'] 
crater                       |   19 |    7 : 1    | ['moon'] 
craters                      |    3 |    1 : 3    | ['holes', 'howl', 'universe'] 
crates                       |    6 |    1 : 6    | ['bins', 'boxes', 'carton', 'chests', 'goods', 'wooden'] 
cravat                       |    2 |    1 : 2    | ['handkerchief', 'scarf'] 
crave                        |   15 |    6 : 1    | ['want'] 
craved                       |    3 |    2 : 1    | ['desired'] 
craven                       |    2 |    1 : 2    | ['coward', 'timorous'] 
craves                       |    2 |    1 : 2    | ['wants', 'yearns'] 
craving                      |   18 |    8 : 1    | ['chocolate'] 
cravings                     |   10 |    1 : 10   | ['addiction', 'constant', 'food', 'hunger', 'hungry', 'needs', 'nicotine', 'pregnant', 'snack', 'urges'] 
crawdad                      |    4 |    1 : 4    | ['crab', 'fishing', 'nettrooper', 'pincher'] 
crawl                        |   28 |    7 : 1    | ['sycophant'] 
crawler                      |   17 |    3 : 1    | ['fur'] 
crawlers                     |    4 |    1 : 4    | ['angleworms', 'creepy', 'night', 'web'] 
crawlies                     |    3 |    2 : 1    | ['creepy'] 
crawling                     |   14 |    1 : 14   | ['away', 'back', 'creepy', 'insect', 'insects', 'locust', 'open', 'roache', 'skin', 'slithering', 'sprawling', 'toddling', 'walking', 'wiggling'] 
crawls                       |    4 |    1 : 4    | ['climbs', 'creeps', 'slithers', 'toddles'] 
crawly                       |   10 |    8 : 1    | ['creepy'] 
crayola                      |    4 |    1 : 4    | ['box', 'browns', 'crayon', 'wax'] 
crayon                       |   21 |    7 : 1    | ['color'] 
crayons                      |   12 |    3 : 3    | ['color', 'markers', 'pencil'] 
craze                        |    2 |    1 : 2    | ['follow', 'trend'] 
crazed                       |    2 |    1 : 2    | ['berserk', 'maniac'] 
craziness                    |    8 |    3 : 1    | ['madness'] 
crazy                        |  149 |   25 : 1    | ['insane'] 
crazy-taxi                   |    2 |    1 : 2    | ['hyphen-cheat', 'red-haired'] 
crazyness                    |    1 |    1 : 1    | ['obsession'] 
crc                          |    2 |    1 : 2    | ['cdc', 'checksum'] 
creak                        |    5 |    2 : 1    | ['creek'] 
creaky                       |    4 |    1 : 4    | ['decrepit', 'joints', 'rusty', 'stairs'] 
cream                        |  106 |   46 : 1    | ['ice'] 
creamer                      |    6 |    1 : 6    | ['coffee', 'cow', "half'n'half", 'random', 'stink', 'sugar'] 
creaming                     |    1 |    1 : 1    | ['screaming'] 
creams                       |    4 |    1 : 4    | ['custard', 'ice', 'strawberry', 'whisks'] 
creamy                       |   23 |    3 : 1    | ['smooth'] 
creamyness                   |    2 |    1 : 2    | ['penguins', 'yogurt'] 
crease                       |   12 |    1 : 12   | ['crevasse', 'crevice', 'cricket', 'crumpled', 'fold', 'grease', 'increase', 'iron', 'line', 'stiff', 'vagi', 'wrinkle'] 
creased                      |    4 |    1 : 4    | ['crinkled', 'fold', 'rutted', 'wrinkles'] 
create                       |   33 |    5 : 1    | ['make'] 
created                      |    6 |    1 : 6    | ['achieved', 'calculus', 'fabricated', 'invented', 'invention', 'made'] 
creating                     |    2 |    1 : 2    | ['cooking', 'inventing'] 
creation                     |   28 |    6 : 1    | ['destruction'] 
creationism                  |    4 |    1 : 4    | ['absurdity', 'bell', 'lagoon', 'made'] 
creative                     |   37 |    5 : 2    | ['artistic', 'inspiration'] 
creativemind                 |    2 |    1 : 2    | ['novelist', 'sculptor'] 
creativeness                 |    2 |    1 : 2    | ['boogerhaid', 'imagination'] 
creativity                   |   25 |   10 : 1    | ['imagination'] 
creator                      |   18 |    6 : 2    | ['god', 'maker'] 
creators                     |    4 |    1 : 4    | ['creatures', 'deities', 'gods', 'inventors'] 
creature                     |   44 |    9 : 1    | ['animal'] 
creatures                    |   14 |    1 : 14   | ['alive', 'animals', 'beasts', 'beings', 'buggers', 'creators', 'critters', 'forestjohn', 'humans', 'magnificent', 'men', 'monster', 'scary', 'slime'] 
cred                         |    2 |    1 : 2    | ['it', 'street'] 
credentials                  |    7 |    2 : 1    | ['papers'] 
credible                     |    4 |    1 : 4    | ['believable', 'plausible', 'possible', 'spoof'] 
credit                       |   44 |   22 : 1    | ['card'] 
creditcard                   |    2 |    1 : 2    | ['bank', 'swipe'] 
creditcards                  |    2 |    1 : 2    | ['debt', 'spend'] 
credits                      |   13 |    1 : 13   | ['acknowledgement', 'acknowledgements', 'author', 'due', 'ending', 'epilogue', 'honors', 'monetary', 'money', 'restart', 'reward', 'titles', 'typo'] 
credo                        |    6 |    1 : 6    | ['cholera', 'creed', 'dogmas', 'domine', 'motto', 'needle'] 
credulity                    |    1 |    1 : 1    | ['honest'] 
creed                        |   35 |   10 : 1    | ['assassin'] 
creek                        |   21 |    3 : 2    | ['beaver', 'stream'] 
creep                        |   14 |    4 : 1    | ['stalker'] 
creepeers                    |    2 |    1 : 2    | ['crepes', 'jeepers'] 
creeper                      |    8 |    1 : 8    | ['around', 'cereal', 'creepy', 'lurker', 'pedophile', 'spider', 'stalker', 'vines'] 
creepers                     |    2 |    1 : 2    | ['creeps', 'vines'] 
creeping                     |    5 |    2 : 1    | ['sneaking'] 
creeps                       |    8 |    1 : 8    | ['crawls', 'creepers', 'jerks', 'rodents', 'slinky', 'sneak', 'sneaks', 'sycophants'] 
creepy                       |   63 |    8 : 1    | ['crawly'] 
creepy-crawlies              |    2 |    1 : 2    | ['bugs', 'cetipedes'] 
creepypasta                  |    4 |    1 : 4    | ['cartoons', 'copypasta', 'noun', 'pasta'] 
cremate                      |    2 |    1 : 2    | ['fire', 'urn'] 
cremated                     |    4 |    1 : 4    | ['alive', 'buried', 'deceased', 'incinerated'] 
cremation                    |   13 |    3 : 1    | ['ashes'] 
crematories                  |    1 |    1 : 1    | ['auschwitz'] 
crematorium                  |    3 |    1 : 3    | ['ashes', 'cemetery', 'gravestone'] 
creme                        |    4 |    1 : 4    | ['caramel', 'coffee', 'irish', 'milk'] 
crenalations                 |    2 |    1 : 2    | ['castle', 'rocks'] 
crenellation                 |    2 |    1 : 2    | ['castle', 'ramparts'] 
creol                        |    1 |    1 : 1    | ['acadia'] 
creole                       |    4 |    1 : 4    | ['cajun', 'mixture', 'shrimp', 'suriname'] 
creosote                     |    2 |    1 : 2    | ['mint', 'wickeder'] 
crepe                        |    2 |    1 : 2    | ['french', 'grape'] 
crepes                       |    2 |    1 : 2    | ['creepeers', 'pancake'] 
crepitation                  |    2 |    1 : 2    | ['decrepit', 'windy'] 
crept                        |    2 |    1 : 2    | ['quietly', 'skulked'] 
crescendo                    |    2 |    1 : 2    | ['louder', 'song'] 
crescent                     |    7 |    4 : 1    | ['moon'] 
crest                        |   15 |    2 : 3    | ['crown', 'toothpaste', 'wave'] 
crested                      |    2 |    1 : 2    | ['bird', 'newt'] 
crestfallen                  |    2 |    1 : 2    | ['disappointment', 'woebegone'] 
cretaceous                   |    4 |    1 : 4    | ['dinosaurs', 'era', 'jurassic', 'velociraptor'] 
crete                        |    3 |    2 : 1    | ['minotaur'] 
cretin                       |    3 |    1 : 3    | ['coldplay', 'idiots', 'moron'] 
cretinous                    |    2 |    7 : 1    | ['adrift'] 
crevasse                     |    4 |    1 : 4    | ['cavity', 'chasm', 'crease', 'gap'] 
crevice                      |    9 |    4 : 1    | ['crack'] 
crevices                     |    2 |    1 : 2    | ['dips', 'fissure'] 
crew                         |   29 |    8 : 1    | ['cut'] 
crib                         |    5 |    1 : 5    | ['cradle', 'domain', 'manger', 'pillow', 'rattle'] 
cribbage                     |    1 |    1 : 1    | ['board'] 
cribs                        |    4 |    1 : 4    | ['gribs', 'homes', 'houses', 'pimpin'] 
crichton                     |    2 |    1 : 2    | ['dinosaur', 'sphere'] 
cricket                      |   72 |   10 : 1    | ['bat'] 
crickets                     |   11 |    1 : 11   | ['beatles', 'entomology', 'gas', 'grasshopper', 'lighters', 'night', 'pinocchio', 'roaches', 'sports', 'tickets', 'wickets'] 
crier                        |    5 |    3 : 1    | ['town'] 
cries                        |    4 |    1 : 4    | ['baby', 'chrysler', 'sad', 'scary'] 
criiie                       |    2 |    1 : 2    | ['baby', 'niiioise'] 
crikey                       |    2 |    1 : 2    | ['crocs', 'crumbs'] 
crime                        |  132 |   22 : 1    | ['punishment'] 
crimea                       |    2 |    1 : 2    | ['river', 'russia'] 
crimean                      |    2 |    1 : 2    | ['sardinia', 'war'] 
crimebabe                    |    3 |    1 : 3    | ['pink', 'spankable', 'steamy'] 
crimes                       |    7 |    2 : 1    | ['passion'] 
crimethink                   |    1 |    1 : 1    | ['newspeak'] 
crimewatch                   |    4 |    1 : 4    | ['abetting', 'help', 'jill', 'uk'] 
crimimal                     |    1 |    1 : 1    | ['smooth'] 
criminal                     |  102 |    9 : 1    | ['smooth'] 
criminality                  |    2 |    1 : 2    | ['mess', 'thieves'] 
criminally                   |    2 |    1 : 2    | ['insane', 'underrated'] 
criminals                    |   28 |    3 : 2    | ['minds', 'thieves'] 
crimnal                      |    2 |    1 : 2    | ['crooks', 'smooth'] 
crimp                        |    2 |    1 : 2    | ['grip', 'pasty'] 
crimson                      |   23 |    6 : 2    | ['red', 'tide'] 
cringe                       |    6 |    1 : 6    | ['anonymous', 'cry', 'pain', 'reaction', 'submissive', 'syringe'] 
cringeworthy                 |    1 |    1 : 1    | ['bitter'] 
crinkle                      |    2 |    1 : 2    | ['scrotum', 'wrinkle'] 
crinkled                     |    2 |    1 : 2    | ['creased', 'wrinkled'] 
crinkly                      |    2 |    1 : 2    | ['bottom', 'hair'] 
crinoline                    |    2 |    1 : 2    | ['corsets', 'gown'] 
crip                         |    2 |    1 : 2    | ['blood', 'blue'] 
crippen                      |    2 |    1 : 2    | ['doctor', 'hanging'] 
cripple                      |    8 |    2 : 1    | ['invalid'] 
crippled                     |    6 |    3 : 1    | ['lame'] 
cripps                       |    2 |    1 : 2    | ['bread', 'tyre'] 
crips                        |    4 |    1 : 4    | ['blood', 'crippled', 'gang', 'snack'] 
crisis                       |   34 |    3 : 1    | ['identity'] 
crisp                        |   30 |    5 : 1    | ['apple'] 
crisps                       |   24 |    3 : 1    | ['potato'] 
crispy                       |   11 |    2 : 4    | ['bacon', 'critters', 'duck', 'fried'] 
cristina                     |    2 |    1 : 2    | ['argentina', 'female'] 
criteria                     |    4 |    1 : 4    | ['factors', 'perquisites', 'prerequisite', 'specifics'] 
critic                       |   13 |    4 : 2    | ['film', 'review'] 
critical                     |   16 |    2 : 3    | ['condition', 'mass', 'vital'] 
criticism                    |    4 |    1 : 4    | ['construct', 'critic', 'review', 'run'] 
criticize                    |    4 |    1 : 4    | ['demean', 'negative', 'putdown', 'scrutinise'] 
criticizer                   |    1 |    1 : 1    | ['pita'] 
critics                      |    6 |    2 : 2    | ['movie', 'ratings'] 
critique                     |    4 |    1 : 4    | ['capitalism', 'judgement', 'opinion', 'positive'] 
critter                      |    9 |    2 : 1    | ['furry'] 
critters                     |   16 |    2 : 4    | ['animals', 'crispy', 'movie', 'pets'] 
crme                         |    2 |    1 : 2    | ['caramel', 'quality'] 
crminal                      |    2 |    1 : 2    | ['conspiracy', 'outlaw'] 
croak                        |   13 |    4 : 1    | ['frog'] 
croaking                     |    2 |    1 : 2    | ['dead', 'ribbit'] 
croatia                      |    4 |    1 : 4    | ['disco', 'europe', 'season', 'tourism'] 
croatian                     |    2 |    1 : 2    | ['croats', 'hadjuk'] 
croats                       |    2 |    1 : 2    | ['croatian', 'ethnic'] 
croc'ed                      |    2 |    1 : 2    | ['crocked', 'crockomonster'] 
crocante                     |    2 |    1 : 2    | ['crockodoodle', 'crocopot'] 
crochet                      |   16 |    2 : 1    | ['weave'] 
crocked                      |    2 |    1 : 2    | ["croc'ed", 'hobbit'] 
crocker                      |    2 |    1 : 2    | ['betty', 'recipe'] 
crockery                     |    3 |    1 : 3    | ['hickery', 'pot', 'scullery'] 
crocket                      |    2 |    1 : 2    | ['capitals', 'davey'] 
crockett                     |    4 |    1 : 4    | ['david', 'davy', 'hobbit', 'tubbs'] 
crocko                       |    2 |    1 : 2    | ['crockomonster', 'crocopot'] 
crockodoodle                 |    2 |    1 : 2    | ['crocante', 'crocosaurus'] 
crockomonster                |    2 |    1 : 2    | ["croc'ed", 'crocko'] 
crocodile                    |   29 |   10 : 1    | ['tears'] 
crocodiles                   |    6 |    1 : 6    | ['alligators', 'everglades', 'gators', 'irwin', 'knife', 'lotion'] 
crocolisk                    |    1 |    1 : 1    | ['hunter'] 
crocopot                     |    2 |    1 : 2    | ['crocante', 'crocko'] 
crocosaurus                  |    2 |    1 : 2    | ['crockodoodle', 'space-monkey'] 
crocs                        |    6 |    2 : 1    | ['sandals'] 
croft                        |    4 |    1 : 4    | ['baker', 'raider', 'sherry', 'survivor'] 
crohns                       |    2 |    1 : 2    | ['disease', 'symptoms'] 
croire                       |    2 |    1 : 2    | ['belief', 'french'] 
croissant                    |    9 |    2 : 3    | ['bread', 'butter', 'crescent'] 
croissants                   |    2 |    1 : 2    | ['bakery', 'stuffed'] 
crom                         |    4 |    1 : 4    | ['abercrombie', 'chrome', 'conan', 'steel'] 
crombie                      |    2 |    1 : 2    | ['baffled', 'coat'] 
cromulent                    |    1 |    1 : 1    | ['defenestrate'] 
cromwell                     |    1 |    1 : 1    | ['oliver'] 
crone                        |    4 |    1 : 4    | ['hag', 'hideous', 'oldness', 'receipt'] 
cronies                      |    2 |    1 : 2    | ['bronies', 'government'] 
cronus                       |    1 |    1 : 1    | ['mythology'] 
cronut                       |    4 |    1 : 4    | ['coconut', 'doghnut', 'fried', 'scones'] 
crony                        |    2 |    1 : 2    | ['minions', 'sidekick'] 
croocked                     |    2 |    1 : 2    | ['click', 'straight'] 
crook                        |   33 |    4 : 1    | ['nixon'] 
crooked                      |   28 |    7 : 1    | ['bent'] 
crooks                       |   16 |    1 : 16   | ['attorneys', 'cons', 'criminals', 'crimnal', 'deceivers', 'disney', 'garth', 'government', 'lawyers', 'parliament', 'pirates', 'politicians', 'robber', 'shepherds', 'steelers', 'thieves'] 
crooner                      |    4 |    1 : 4    | ['bono', 'sing', 'singer', 'swing'] 
crop                         |   23 |    4 : 1    | ['circle'] 
crop-circles                 |    2 |    1 : 2    | ['et', 'extraterrestrial'] 
cropped                      |    2 |    1 : 2    | ['lopped', 'trimmed'] 
crops                        |   30 |    3 : 2    | ['farming', 'harvest'] 
croquet                      |    7 |    1 : 7    | ['balls', 'conquest', 'cricket', 'mallet', 'potatoes', 'putting', 'sport'] 
crosby                       |    2 |    1 : 2    | ['bing', 'clamp'] 
crosbyrific                  |    1 |    1 : 1    | ['young'] 
cross                        |   80 |   11 : 1    | ['jesus'] 
cross-country                |    3 |    1 : 3    | ['fun', 'run', 'ski'] 
cross-eyed                   |    4 |    1 : 4    | ['beady', 'mary', 'squint', 'stigmatism'] 
cross-stitch                 |    2 |    1 : 2    | ['embroidery', 'happy-hash'] 
crossbar                     |    3 |    1 : 3    | ['crosshair', 'goalposts', 'spacebar'] 
crossbones                   |    4 |    1 : 4    | ['crossbow', 'crossroads', 'jolly', 'skull'] 
crossbow                     |   13 |    2 : 1    | ['apple'] 
crossbreed                   |    3 |    2 : 1    | ['hybrid'] 
crosscut                     |    2 |    1 : 2    | ['grain', 'shredder'] 
crossed                      |   12 |    6 : 1    | ['fingers'] 
crosses                      |    4 |    1 : 4    | ['header', 'naughts', 'nought', 'ticks'] 
crossfire                    |    2 |    1 : 2    | ['caught', 'chrysler'] 
crossfit                     |    2 |    1 : 2    | ['crossbow', 'letters'] 
crosshair                    |    4 |    1 : 4    | ['crossbar', 'laser', 'marksman', 'target'] 
crossing                     |   35 |    4 : 1    | ['zebra'] 
crossings                    |    4 |    1 : 4    | ['deer', 'duckling', 'junction', 'zebra'] 
crossroad                    |    4 |    1 : 4    | ['cross', 'direction', 'intersection', 'up'] 
crossroads                   |   14 |    4 : 1    | ['junction'] 
crosswalk                    |    1 |    1 : 1    | ['crossroads'] 
crossword                    |   10 |    2 : 3    | ['clue', 'cryptic', 'puzzle'] 
crosswords                   |    2 |    1 : 2    | ['game', 'puzzles'] 
crotch                       |    5 |    1 : 5    | ['anatomy', 'crabs', 'fire', 'groin', 'pants'] 
crotch-licking               |    1 |    1 : 1    | ['cat'] 
crotchet                     |    4 |    1 : 4    | ['panty', 'quarter', 'semibreve', 'violin'] 
crotchety                    |    2 |    1 : 2    | ['cantankerous', 'old'] 
crotchless                   |    2 |    1 : 2    | ['lingerie', 'panties'] 
crotons                      |    1 |    1 : 1    | ['salad'] 
crouch                       |    1 |    1 : 1    | ['stoke'] 
crouching                    |    6 |    1 : 6    | ['dragon', 'hidden', 'pooping', 'sitting', 'stretching', 'tiger'] 
croup                        |    2 |    1 : 2    | ['croup', 'gizzard'] 
croupier                     |    2 |    1 : 2    | ['casino', 'dealer'] 
crouton                      |    4 |    1 : 4    | ['dressing', 'kryten', 'salad', 'sauted'] 
croutons                     |    4 |    1 : 4    | ['burnt', 'crumbs', 'soup', 'toast'] 
crow                         |   24 |    7 : 1    | ['bar'] 
crowbar                      |    9 |    3 : 1    | ['crate'] 
crowd                        |   68 |   18 : 1    | ['people'] 
crowd-source                 |    2 |    1 : 2    | ['kickstarter', 'wicken'] 
crowded                      |   17 |    2 : 2    | ['house', 'packed'] 
crowdfunding                 |    2 |    1 : 2    | ['confounding', 'kickstarter'] 
crowding                     |    2 |    1 : 2    | ['hemming', 'shoving'] 
crowds                       |   26 |    4 : 1    | ['people'] 
crowdsource                  |    2 |    1 : 2    | ['outsource', 'phalanx'] 
crowing                      |    1 |    1 : 1    | ['jesus'] 
crowley                      |    4 |    1 : 4    | ['al', 'magic', 'ozzy', 'wicked'] 
crown                        |   39 |   10 : 1    | ['king'] 
crowning                     |    2 |    1 : 2    | ['coronation', 'glory'] 
crowns                       |    5 |    1 : 5    | ['currency', 'diamond', 'queen', 'roots', 'thrones'] 
crows                        |   15 |    6 : 1    | ['nest'] 
crpe                         |    2 |    1 : 2    | ['pancake', 'suzette'] 
crucial                      |    6 |    1 : 6    | ['importance', 'important', 'moment', 'timing', 'uncial', 'urgent'] 
crucifix                     |    6 |    1 : 6    | ['cross', 'jesus', 'latin', 'stigmata', 'transfix', 'vampire'] 
crucifixion                  |    5 |    2 : 1    | ['jesus'] 
crucify                      |    2 |    1 : 2    | ['stolen', 'tack'] 
crucio                       |    2 |    2 : 1    | ['unforgivable'] 
crud                         |    3 |    1 : 3    | ['catchers', 'filth', 'grime'] 
crude                        |   14 |    5 : 1    | ['oil'] 
crudits                      |    1 |    2 : 1    | ['dog'] 
cruel                        |   29 |    3 : 3    | ['evil', 'harsh', 'mean'] 
cruella                      |    2 |    1 : 2    | ['dalmations', 'villain'] 
cruelness                    |    1 |    1 : 1    | ['hooray'] 
cruelty                      |   19 |    1 : 19   | ["a'dultery", 'abuse', 'animal', 'back', 'barbarism', 'chain', 'cruel', 'humankind', 'inconceivable', 'irony', 'mankind', 'poultry', 'rumors', 'sadism', 'sadistic', 'stocks', 'torture', 'traps', 'wounds'] 
cruelty-free                 |    1 |    1 : 1    | ['humane'] 
crufts                       |    2 |    2 : 1    | ['show'] 
cruise                       |   45 |   13 : 2    | ['control', 'ship'] 
cruiser                      |   10 |    3 : 1    | ['ship'] 
cruises                      |    4 |    1 : 4    | ['drives', 'princess', 'tom', 'trips'] 
cruising                     |    4 |    2 : 1    | ['altitude'] 
crumb                        |    6 |    5 : 1    | ['bread'] 
crumble                      |   28 |    8 : 1    | ['apple'] 
crumbletrooper               |    2 |    1 : 2    | ['apple', 'pieces'] 
crumbling                    |    3 |    1 : 3    | ['ancient', 'cakes', 'cliffs'] 
crumbs                       |   25 |    5 : 1    | ['cake'] 
crummy                       |    4 |    1 : 4    | ['crap', 'disgusting', 'dive', 'gross'] 
crumpet                      |    6 |    3 : 1    | ['tea'] 
crumpets                     |    9 |    2 : 1    | ['tea'] 
crumple                      |   10 |    2 : 1    | ['collapse'] 
crumpled                     |    2 |    1 : 2    | ['crease', 'wrinkled'] 
crunch                       |   27 |    5 : 2    | ['captain', 'munch'] 
crunches                     |    2 |    1 : 2    | ['breakfast', 'chocolate'] 
crunchie                     |    2 |    1 : 2    | ['bar', 'friday'] 
crunching                    |    2 |    1 : 2    | ['cereal', 'munching'] 
crunchy                      |   20 |    2 : 1    | ['granola'] 
crusade                      |   10 |    2 : 1    | ['templar'] 
crusader                     |    9 |    3 : 1    | ['caped'] 
crusades                     |    4 |    1 : 4    | ['cross', 'history', 'renaissance', 'stonghold'] 
crusading                    |    2 |    1 : 2    | ['proselytizing', 'religion'] 
crush                        |   27 |    8 : 1    | ['orange'] 
crushed                      |   16 |    1 : 16   | ['cars', 'compactor', 'crashed', 'defeated', 'dreams', 'fruit', 'garlic', 'ground', 'heart', 'ice', 'icebreaker', 'lady', 'pulverized', 'shmushed', 'smash', 'smashed'] 
crusher                      |   10 |    1 : 10   | ['can', 'can-can', 'candy', 'foot', 'junkyard', 'nose', 'ooops', 'rock', 'trash', 'wesley'] 
crushing                     |    4 |    1 : 4    | ['dead', 'defeat', 'overwhelming', 'squelching'] 
crusoe                       |    2 |    2 : 1    | ['friday'] 
crust                        |   30 |   27 : 1    | ['pie'] 
crustacean                   |    8 |    1 : 8    | ['fish', 'fossil', 'insect', 'lobster', 'prawn', 'shell', 'shrimp', 'suffering'] 
crustaceans                  |    1 |    1 : 1    | ['hermitcrabs'] 
crustache                    |    2 |    1 : 2    | ['fuzz', 'grooming'] 
crusty                       |    7 |    2 : 1    | ['bread'] 
crutch                       |   13 |    2 : 1    | ['support'] 
crutches                     |   12 |    2 : 1    | ['cast'] 
crux                         |    6 |    1 : 6    | ['ansata', 'australis', 'case', 'constellation', 'henge', 'matter'] 
cruz                         |    4 |    1 : 4    | ['car', 'penelope', 'ship', 'travel'] 
cruzes                       |    2 |    1 : 2    | ['drives', 'guide'] 
cry                          |   76 |   26 : 1    | ['baby'] 
cry-baby                     |    2 |    1 : 2    | ['crier', 'wimp'] 
crybaby                      |    4 |    1 : 4    | ['thin-skinned', 'uneducated', 'wah', 'wuss'] 
cryer                        |    2 |    1 : 2    | ['hear', 'newspaper'] 
crying                       |   52 |    5 : 1    | ['baby'] 
cryogenic                    |    4 |    1 : 4    | ['freeze-dried-people', 'preservation', 'regeneration', 'sleep'] 
cryostasis                   |    2 |    1 : 2    | ['fry', 'lolly'] 
crypt                        |   16 |    5 : 1    | ['tomb'] 
